label,Near earth,Magnitude,Eccentricity,Semi-major axis (AU),Perihelion distance (AU),Rotation period (s)
(AD55),N,13.4,0.1614,3.1834,2.6697,
(AD6),N,13.6,0.0969,5.1743,4.673,
(AD62),N,13.8,0.0429,2.9886,2.8605,37486.8
(AD67),N,13.9,0.254,2.9682,2.2142,
(AD68),N,12.5,0.1026,3.0237,2.7134,37432.8
(AD75),N,11.2,0.1095,5.1883,4.6204,
(AD8),N,13.8,0.2534,2.7137,2.026,
(AD95),N,13.6,0.0906,3.0547,2.7778,
(AD98),N,13.7,0.1186,3.1625,2.7876,
(AE),N,13.6,0.2097,3.2259,2.5496,
(AE),N,13.3,0.1248,2.7187,2.3793,39492
(AE1),N,13.3,0.0521,3.1085,2.9464,29995.2
(AE1),N,13.4,0.1942,2.7345,2.2036,
(AE123),N,13.8,0.0801,5.1408,4.729,
(AE143),N,13.2,0.0899,2.9944,2.7251,12471.6816
(AE18),N,12.9,0.1324,3.1892,2.767,
(AE198),N,13.5,0.209,2.7769,2.1966,
(AE2),N,13.7,0.1007,3.0411,2.7349,
(AE200),N,13.5,0.0465,3.0594,2.917,
(AE203),N,13.5,0.0667,2.8696,2.6783,
(AE210),N,12.6,0.0139,5.1685,5.0967,
(AE241),N,13.5,0.1338,3.0479,2.64,
(AE243),N,12.9,0.0722,2.9915,2.7755,32860.8
(AE26),N,13.9,0.0449,3.208,3.0639,
(AE5),N,12.5,0.0234,3.037,2.966,135320.4
(AE6),N,12.4,0.0693,2.5922,2.4126,
(AF1),N,13.4,0.2888,2.5513,1.8145,947142
(AF10),N,13.8,0.1456,2.613,2.2326,27553.104
(AF104),N,13.8,0.1107,2.813,2.5015,
(AF11),N,13.4,0.1496,3.1898,2.7128,
(AF119),N,13.1,0.0958,3.0583,2.7653,13772.736
(AF128),N,13.7,0.1225,3.0417,2.6692,
(AF137),N,13.9,0.1948,2.5823,2.0793,
(AF149),N,13.9,0.1892,2.6118,2.1178,
(AF164),N,13,0.1577,2.5855,2.1778,12466.8
(AF165),N,13.5,0.0561,2.8433,2.6839,
(AF186),N,13.2,0.187,2.9081,2.3644,
(AF19),N,12.7,0.0205,3.1561,3.0915,
(AF199),N,13.3,0.2538,2.6388,1.9691,
(AF22),N,12.9,0.26,3.1925,2.3625,18684
(AF222),N,13.6,0.0624,3.1041,2.9103,
(AF227),N,13.7,0.1144,3.1145,2.7583,
(AF229),N,13.6,0.2053,2.7933,2.2199,107809.2
(AF32),N,12.3,0.1389,5.1966,4.4746,
(AF36),N,12.6,0.0794,5.1674,4.7569,
(AF4),N,13.8,0.1606,2.7724,2.3273,
(AF43),N,13.6,0.1168,3.2173,2.8415,
(AF48),N,13.5,0.1534,2.8547,2.4169,
(AF56),N,13.3,0.1788,3.1632,2.5976,
(AF7),N,13.4,0.0299,3.2225,3.1262,
(AF76),N,13.1,0.0343,3.0006,2.8976,
(AF84),N,12.6,0.0638,5.127,4.7997,
(AF92),N,13.4,0.0232,3.1552,3.0819,
(AF97),N,13.6,0.1151,2.6807,2.3723,
(AG),N,13,0.0811,3.0032,2.7598,
(AG),N,13,0.1692,2.8084,2.3332,57906
(AG),N,13.3,0.1424,2.6646,2.2851,
(AG),N,13.7,0.2429,2.3839,1.805,
(AG117),N,13.9,0.2819,2.7335,1.9628,
(AG120),N,13.5,0.1089,3.062,2.7285,
(AG125),N,13.9,0.1414,3.207,2.7537,
(AG133),N,12.5,0.0595,3.0074,2.8283,
(AG138),N,13.3,0.0843,2.7573,2.5248,
(AG14),N,13.1,0.2199,2.5892,2.0198,
(AG166),N,12.8,0.1237,3.2144,2.8166,
(AG17),N,12.5,0.0969,5.2849,4.7729,
(AG170),N,13.1,0.0111,3.1503,3.1154,
(AG175),N,13,0.2213,2.8606,2.2274,10004.4
(AG191),N,11.3,0.1433,5.2069,4.4605,42156
(AG2),N,12.4,0.09,3.1611,2.8765,20577.6
(AG21),N,13.7,0.1578,2.4838,2.0919,
(AG229),N,13.2,0.1825,3.1195,2.5502,
(AG23),N,13.2,0.2268,3.1088,2.4036,
(AG244),N,13.4,0.1166,3.1244,2.76,
(AG251),N,13.4,0.148,3.9273,3.3461,
(AG3),N,13.3,0.0915,3.0838,2.8018,
(AG32),N,12.6,0.0837,5.1305,4.7012,
(AG4),N,12.8,0.1231,5.1711,4.5346,
(AG55),N,12.1,0.025,5.1454,5.0168,
(AG6),N,13.6,0.1446,2.8799,2.4635,
(AG61),N,13.4,0.0138,5.2131,5.1411,
(AG61),N,13.7,0.0674,3.0915,2.8832,
(AG90),N,12,0.0451,5.25,5.0134,
(AH1),N,12.7,0.0321,5.296,5.1262,
(AH108),N,13.4,0.0545,5.3052,5.0158,
(AH121),N,13.4,0.1015,3.0955,2.7813,
