label,Near earth,Magnitude,Eccentricity,Semi-major axis (AU),Perihelion distance (AU),Rotation period (s)
(KN29),N,13.9,0.1224,3.2089,2.8162,
(KN30),N,12.9,0.0842,3.0183,2.7642,
(KN30),N,13.8,0.237,2.6607,2.0302,
(KN34),N,13.9,0.1635,3.2037,2.6799,
(KN45),N,13.7,0.1245,3.2517,2.8469,
(KN45),N,13.8,0.0952,3.2253,2.9181,
(KN46),N,13.6,0.0436,3.0208,2.8892,22496.4
(KN53),N,13.5,0.0639,3.1809,2.9777,
(KN55),N,13.6,0.1368,2.793,2.4111,
(KN56),N,13.3,0.1102,2.998,2.6678,
(KN62),N,13.8,0.0285,3.4067,3.3096,
(KN62),N,13.5,0.2036,3.162,2.5181,
(KN8),N,13.8,0.0666,3.1332,2.9245,
(KO13),N,13.6,0.0744,2.663,2.4648,17355.6
(KO47),N,12.6,0.0838,3.2067,2.9379,
(KO48),N,13.5,0.1224,3.2241,2.8295,
(KO56),N,13.8,0.0645,3.141,2.9384,
(KO67),N,13.6,0.1694,2.7205,2.2596,29609.748
(KO71),N,13.8,0.2405,2.965,2.2519,
(KP19),N,12.7,0.1024,3.2516,2.9185,
(KP29),N,13.7,0.1819,3.2339,2.6455,
(KP30),N,13.9,0.1158,2.961,2.6182,
(KP45),N,13.6,0.1077,3.1022,2.7679,
(KP5),N,13.2,0.183,3.1675,2.5879,
(KP54),N,13.5,0.1534,2.7757,2.3499,
(KP6),N,13,0.1211,2.5941,2.2798,13392
(KP7),N,12.4,0.0499,5.2813,5.0179,
(KP73),N,13.7,0.1784,2.6734,2.1964,
(KQ),N,12.5,0.1728,2.666,2.2054,
(KQ14),N,13,0.0984,3.1773,2.8647,
(KQ17),N,13,0.07,5.2232,4.8576,
(KQ39),N,13.9,0.1632,3.065,2.5646,25081.2
(KQ4),N,13.8,0.3844,2.7833,1.7134,
(KQ47),N,13,0.2557,3.1446,2.3404,
(KQ51),N,12.9,0.0821,2.9883,2.7428,
(KQ63),N,13.6,0.0855,3.0369,2.7774,
(KQ66),N,13.5,0.1587,3.1885,2.6826,
(KR1),N,13.3,0.0731,3.1303,2.9014,
(KR2),N,13.2,0.1509,3.1371,2.6636,
(KR21),N,13.8,0.0814,3.2285,2.9656,
(KR29),N,12.8,0.0782,2.761,2.545,
(KR37),N,13.1,0.0501,3.1395,2.9821,
(KR53),N,12.8,0.0065,3.0727,3.0528,
(KR56),N,13.5,0.0567,2.9831,2.8139,
(KR59),N,13.6,0.0648,2.9844,2.7911,
(KS11),N,13.8,0.0894,3.1552,2.8731,
(KS12),N,13.1,0.172,3.2304,2.6748,
(KS2),N,13.9,0.29,3.0995,2.2006,102196.8
(KS31),N,13.2,0.197,3.1198,2.5052,
(KS32),N,13.7,0.1135,2.9961,2.656,
(KS50),N,13.5,0.0858,2.9904,2.734,
(KS53),N,13.9,0.1308,2.7786,2.4151,
(KS7),N,12.7,0.0512,2.553,2.4223,
(KT26),N,13.1,0.1285,3.2105,2.798,
(KT28),N,13.1,0.0931,3.0602,2.7753,15735.6
(KT47),N,13.6,0.0762,3.1798,2.9374,
(KT48),N,13.6,0.1961,2.636,2.1192,10231.2
(KT50),N,13.4,0.0611,3.1585,2.9654,
(KT50),N,13.8,0.1086,3.052,2.7207,
(KT55),N,12.8,0.2375,2.6544,2.024,
(KT6),N,13.4,0.2233,2.7953,2.1712,23857.2
(KT77),N,13.9,0.104,3.0198,2.7057,
(KU29),N,13.4,0.1087,3.97,3.5385,
(KU39),N,13.9,0.1392,3.1404,2.7033,818658
(KU48),N,12.6,0.1018,2.4289,2.1817,18938.88
(KU51),N,13.3,0.1056,3.0151,2.6968,
(KU60),N,13.7,0.1463,2.6311,2.2461,
(KV40),N,13.8,0.0545,2.998,2.8345,364755.6
(KV45),N,13.2,0.0923,2.9024,2.6345,
(KV48),N,12.9,0.1301,3.1779,2.7645,
(KV54),N,13.4,0.1024,3.124,2.804,
(KV58),N,13.8,0.1087,3.107,2.7691,
(KV9),N,13.7,0.0825,3.0775,2.8235,
(KW14),N,13.9,0.1177,3.1541,2.7827,
(KW2),N,12,0.0707,5.2674,4.8951,13104
(KW34),N,13.8,0.1476,3.1862,2.7157,
(KW44),N,13,0.1046,3.2054,2.87,
(KW45),N,13.3,0.1727,3.2244,2.6675,
(KW46),N,12.7,0.0945,3.0973,2.8045,16851.6
(KW46),N,12.9,0.2251,2.544,1.9713,20235.6
(KW47),N,13.4,0.1416,2.5222,2.165,
(KW51),N,13.4,0.1668,2.5763,2.1467,
(KW53),N,12.6,0.0823,3.2017,2.9383,
(KW54),N,13,0.238,3.112,2.3713,17884.8
(KW9),N,12.9,0.2226,3.1413,2.4422,
(KX1),N,13.7,0.1484,3.1309,2.6663,
(KX15),N,13.3,0.0237,3.1453,3.0708,12816
(KX2),N,13.4,0.1299,2.6516,2.3072,
(KX29),N,13.7,0.178,3.1971,2.6279,12888
(KX48),N,12.4,0.0586,3.0085,2.832,
(KX52),N,13.5,0.1492,3.1874,2.7119,25102.8
(KX54),N,13.3,0.0736,3.1798,2.9459,
(KX60),N,13.3,0.0565,2.9967,2.8275,
(KX73),N,13.8,0.0618,3.2409,3.0406,
(KX81),N,13.6,0.1505,2.944,2.501,
(KY18),N,12.9,0.0927,5.3308,4.8366,
(KY30),N,13.5,0.1882,3.207,2.6036,
(KY44),N,13.8,0.0462,2.9753,2.8379,
(KY48),N,13.8,0.0696,3.1671,2.9466,14936.4
(KY51),N,13,0.2123,3.9839,3.1382,
(KY53),N,13.6,0.0662,3.0312,2.8304,
(KY65),N,13.1,0.1942,3.1422,2.5319,
(KZ1),N,12.3,0.089,3.2023,2.9174,
(KZ13),N,13.9,0.0924,2.8819,2.6156,
(KZ3),N,11.4,0.0372,5.2227,5.0284,
(KZ32),N,13.7,0.1168,3.2074,2.8329,
(KZ34),N,13.3,0.0781,5.1824,4.7777,
(KZ36),N,13.8,0.1348,3.079,2.6639,
(KZ37),N,13.3,0.0613,5.1758,4.8585,
(KZ38),N,13.4,0.0086,3.1407,3.1138,
(KZ38),N,13.5,0.1435,2.5706,2.2018,
(KZ46),N,13,0.1149,2.6027,2.3036,18504
(KZ54),N,13.3,0.1244,3.0333,2.6559,
(KZ7),N,12.8,0.1381,3.1504,2.7155,
(LA13),N,13.4,0.1171,2.9755,2.627,
(LA19),N,12.5,0.1028,3.1653,2.8399,
(LA2),N,13.9,0.0722,2.9826,2.7672,
(LA27),N,12.9,0.1698,2.6213,2.1763,
(LA27),N,13.3,0.15,2.4243,2.0608,
(LA29),N,13.9,0.2238,2.7641,2.1455,
(LA4),N,13.8,0.1521,3.0942,2.6235,
(LB2),N,13.4,0.0232,3.101,3.0292,
(LB29),N,13.2,0.2352,3.9601,3.0288,
(LB37),N,12.8,0.1033,5.1913,4.655,
(LB8),N,13.1,0.1005,2.5462,2.2902,
(LC),N,13.1,0.1347,2.6288,2.2747,267264
(LC19),N,13.4,0.1361,3.1368,2.7099,
(LC21),N,13.6,0.0954,3.1377,2.8383,
(LC3),N,13.7,0.1229,2.6521,2.326,
(LC7),N,13.5,0.1451,2.9321,2.5068,
(LD1),N,13.8,0.0898,2.7121,2.4685,
(LD12),N,12.9,0.1533,3.1014,2.6259,
(LD13),N,13.8,0.2873,3.0091,2.1445,
(LD32),N,13.8,0.2124,3.143,2.4753,
(LD35),N,13.8,0.1907,2.6893,2.1764,
(LD7),N,12.9,0.1037,3.1804,2.8505,14713.2
(LD8),N,13.4,0.1755,3.3268,2.743,
(LE),N,12.7,0.0908,3.0188,2.7447,
(LE12),N,13.6,0.1506,3.1603,2.6843,
(LE12),N,13.9,0.0467,2.5823,2.4619,
(LE14),N,13.7,0.107,2.6405,2.358,23940
(LE19),N,13.9,0.1193,3.0932,2.7243,
(LE3),N,13.8,0.3315,3.1655,2.1162,
(LE31),N,12.5,0.4665,8.1292,4.3371,
(LE4),N,13.2,0.0842,3.2192,2.9482,
(LF),N,12.6,0.1078,2.5542,2.2787,9493.2
(LF1),N,12.5,0.0549,3.1084,2.9378,
(LF1),N,13.6,0.1491,2.5607,2.1788,
(LF11),N,13.7,0.3663,2.7725,1.7568,
(LF12),N,13.7,0.1216,2.4101,2.1172,
(LF18),N,12.6,0.125,3.1638,2.7684,
(LF2),N,13.6,0.1008,2.9263,2.6315,
(LF2),N,12.8,0.1583,2.7737,2.3345,
(LF20),N,13.6,0.1569,3.1392,2.6466,
(LF35),N,13.8,0.2871,3.1847,2.2702,
(LG),N,13.5,0.1483,2.4333,2.0724,
(LG2),N,12.6,0.0451,5.2895,5.0507,
(LG2),N,12.5,0.1469,3.1602,2.696,
(LG27),N,13.6,0.1039,3.0419,2.7257,13888.8
(LG27),N,13.9,0.1343,2.6062,2.2563,
(LG28),N,13.5,0.2164,3.1767,2.4893,
(LG31),N,13.4,0.1855,2.5981,2.1161,25596
(LG32),N,13.3,0.1931,3.9751,3.2076,
(LG4),N,13.4,0.0562,3.1106,2.9357,
(LG9),N,13.3,0.1465,3.1176,2.661,
(LH),N,13.9,0.2007,3.1506,2.5181,
(LH),N,13.2,0.2086,3.0342,2.4013,
(LH15),N,13.9,0.0757,3.0614,2.8298,
(LH23),N,13.8,0.0386,3.0831,2.9642,
(LH30),N,13.4,0.1429,3.3778,2.8953,
(LH33),N,12.6,0.2673,3.972,2.9102,
(LH4),N,13.1,0.2404,3.1545,2.3962,
(LH5),N,13.2,0.0718,5.1453,4.7759,
(LH5),N,13,0.3763,2.894,1.805,13982.4
(LH7),N,13,0.1111,2.6393,2.346,
(LJ1),N,13.5,0.2055,2.6873,2.135,65847.6
(LJ12),N,13.3,0.1515,2.7854,2.3634,
(LJ14),N,13.3,0.2526,2.8582,2.1362,
(LJ15),N,12.9,0.091,3.4833,3.1663,26684.244
(LJ18),N,13.4,0.4082,2.8991,1.7156,
(LJ21),N,12.8,0.042,3.1,2.9697,
(LJ31),N,13.6,0.2373,2.9986,2.2871,
(LK12),N,13.9,0.0928,3.1077,2.8194,
(LK20),N,13.3,0.1096,2.5901,2.3063,
(LK36),N,13,0.2857,3.9742,2.8388,126540
(LL17),N,13.5,0.0884,3.02,2.753,
(LL2),N,12.7,0.1168,2.6778,2.3651,27021.6
(LL34),N,13.7,0.157,2.8039,2.3636,
(LL37),N,13.2,0.098,3.1297,2.8231,
(LL9),N,13.7,0.1756,2.7673,2.2815,
(LM),N,13.8,0.2118,3.974,3.1323,
(LM),N,13,0.0879,2.5702,2.3443,
(LM16),N,13.9,0.2464,2.4035,1.8113,309600
(LM19),N,13.6,0.1988,2.7764,2.2245,25448.4
(LM30),N,13.3,0.1301,3.3811,2.941,
(LM34),N,13.7,0.1955,2.7634,2.2231,
(LM36),N,13.3,0.0925,3.1618,2.8693,
(LM7),N,13.9,0.0576,3.0443,2.8688,
(LN13),N,13.1,0.0632,5.1767,4.8496,
(LN14),N,13.5,0.3059,3.0561,2.1211,
(LN18),N,13.7,0.065,2.7049,2.5292,
(LN19),N,13.5,0.2443,2.5824,1.9514,
(LN23),N,13.2,0.1181,2.5777,2.2733,
(LN27),N,12.4,0.101,3.14,2.8227,
(LN32),N,13.5,0.1359,3.1827,2.7501,
(LN8),N,13.8,0.0782,3.1549,2.9082,
(LO10),N,13.4,0.1746,3.1853,2.6291,
(LO14),N,13.5,0.1391,2.674,2.3022,64008
(LO17),N,13,0.2024,2.5727,2.0521,
(LO19),N,12.3,0.0723,5.1526,4.7801,
(LO19),N,12.6,0.082,3.2387,2.9731,
(LO25),N,13.3,0.0841,5.1484,4.7154,
(LP24),N,12.3,0.1021,3.1438,2.8229,
(LP25),N,13.6,0.1314,3.0668,2.6638,
(LP31),N,13.3,0.0581,3.1177,2.9366,56170.8
(LP32),N,13.4,0.1752,3.1522,2.6,
(LP35),N,13.1,0.0418,3.1812,3.0483,21132
(LP53),N,13.7,0.1242,3.1235,2.7354,13644
(LP9),N,13.7,0.0595,2.944,2.7689,
(LQ),N,12.9,0.0729,2.9944,2.7762,
(LQ),N,13.9,0.3879,2.5991,1.591,30092.4
(LQ),N,13.7,0.1513,2.5792,2.1891,
(LQ13),N,13.1,0.1619,3.3496,2.8072,27792
(LQ19),N,13.4,0.1729,2.546,2.1059,
(LQ2),N,13.5,0.0934,5.2322,4.7436,
(LQ21),N,13,0.0857,3.1488,2.879,
(LQ24),N,13.5,0.0461,3.1859,3.0391,
(LQ28),N,13.5,0.2541,3.1327,2.3366,
(LQ36),N,13.7,0.0861,3.1679,2.8953,
(LQ52),N,13.7,0.1745,3.1155,2.572,
(LQ55),N,13.8,0.1242,3.1048,2.7191,
(LR),N,11.9,0.0432,3.0806,2.9475,
(LR11),N,13.4,0.1139,3.0508,2.7033,
(LR13),N,13.6,0.0505,3.0638,2.9091,
(LR19),N,13.7,0.1028,3.162,2.8371,
(LR20),N,13.3,0.0883,2.761,2.5171,
(LR8),N,13.8,0.211,3.1346,2.4732,
(LS15),N,13.4,0.0735,3.2149,2.9785,
(LS2),N,13.2,0.1869,3.0858,2.5089,
(LS21),N,13.7,0.1832,3.235,2.6424,
(LS26),N,12.5,0.0191,2.5431,2.4944,
(LS27),N,13.4,0.0822,3.1739,2.9128,
(LS34),N,12.6,0.1419,2.9196,2.5052,
(LS43),N,13.3,0.0804,3.1618,2.9075,
(LS6),N,12.6,0.0525,5.1552,4.8846,
(LS8),N,13.5,0.089,3.2006,2.9156,
(LS9),N,13.4,0.1305,3.2217,2.8013,58086
(LT),N,12.8,0.0997,3.1746,2.8581,
(LT10),N,13.7,0.0319,3.105,3.0058,
(LT18),N,13.2,0.0868,5.1615,4.7134,
(LT25),N,13.5,0.1984,3.1223,2.5028,
(LT3),N,13.6,0.0359,3.1545,3.0413,
(LT47),N,13.9,0.121,3.2192,2.8295,
(LT53),N,13.4,0.0559,5.1883,4.8983,
(LT8),N,13,0.0748,3.1622,2.9258,
(LU),N,13.6,0.0932,2.8091,2.5473,15332.4
(LU1),N,13.6,0.2003,2.6745,2.1389,
(LU17),N,13.7,0.2082,3.0721,2.4325,
(LU22),N,12.9,0.3049,3.1595,2.1963,
(LU26),N,13.8,0.271,2.5374,1.8498,
(LU4),N,13.3,0.0726,2.8369,2.6309,
(LU7),N,13.6,0.2573,2.7753,2.0613,
(LV11),N,13.1,0.2256,3.1499,2.4393,
(LV16),N,13.7,0.0692,3.0716,2.8592,
(LV4),N,13.3,0.1976,3.1578,2.5338,
(LV8),N,12.6,0.0818,3.1793,2.9193,
(LW),N,13.5,0.0639,3.1705,2.9678,
(LW),N,13.6,0.1798,2.5715,2.109,65880
(LW25),N,13.7,0.1883,2.5759,2.0908,
(LX13),N,13.9,0.1811,3.1111,2.5478,
(LX19),N,13.5,0.1054,2.5408,2.273,
(LX20),N,13.8,0.2377,3.1396,2.3934,
(LX5),N,13.6,0.0262,3.0567,2.9767,137606.4
(LX6),N,13.8,0.1274,3.0774,2.6854,
(LY),N,13.2,0.1799,2.6313,2.1579,9957.6
(LY),N,12.9,0.0538,2.6077,2.4675,284940
(LY16),N,13.4,0.0637,2.9798,2.79,
(LY2),N,13.8,0.1957,2.7791,2.2353,
(LY26),N,12.4,0.099,3.2374,2.9171,
(LY38),N,13.6,0.3026,3.0709,2.1416,
(LY47),N,13,0.046,3.2122,3.0644,
(LY7),N,13.9,0.2172,3.0433,2.3822,
(LZ11),N,12.5,0.0129,3.1942,3.1529,
(LZ2),N,13.7,0.1662,3.1528,2.6288,
(LZ24),N,12.4,0.1616,2.4133,2.0234,10530
(LZ26),N,13.2,0.1888,2.6192,2.1247,
(LZ28),N,13.9,0.1954,3.0876,2.4843,
(LZ31),N,13.3,0.0361,3.0157,2.9068,12528
(LZ31),N,13.7,0.2127,2.6888,2.1169,
(LZ45),N,12.8,0.0794,5.1667,4.7563,
(LZ5),N,12.9,0.1135,5.1893,4.6004,
(MA),N,12.7,0.1615,3.0809,2.5834,
(MA1),N,12.5,0.1181,2.7427,2.4187,
(MA11),N,10.4,0.047,5.1797,4.9364,900000
(MA4),N,12.5,0.2132,3.4,2.6752,
(MA5),N,13.4,0.104,2.9824,2.6722,63324
(MB),N,13,0.1894,2.6743,2.1678,19242
(MB),N,12.7,0.2228,2.4111,1.8738,16527.96
(MB1),N,13.1,0.1436,2.5688,2.1998,
(MB2),N,13.6,0.2779,2.5436,1.8367,2632593.6
(MB3),N,13.6,0.1737,3.0988,2.5606,
(MB32),N,13.5,0.0451,2.5674,2.4517,
(MC),N,13.9,0.1584,3.9859,3.3544,
(MC),N,12.6,0.2767,3.113,2.2515,45792
(MC),N,12.9,0.32,2.88,1.9586,23806.8
(MC11),N,13.7,0.1453,3.2097,2.7434,
(MD11),N,13.4,0.0539,5.1113,4.8355,
(MD13),N,13.2,0.2135,2.5344,1.9933,9370.8
(MD3),N,13.6,0.1596,3.1224,2.6239,
(MD33),N,12.7,0.1839,3.0634,2.5,
(MD5),N,13.5,0.2093,2.8011,2.2149,
(ME2),N,13.9,0.078,3.2138,2.963,
(ME24),N,12.3,0.2474,3.1541,2.3739,38245.176
(ME7),N,13.5,0.158,2.5706,2.1645,
(MF1),N,13.5,0.163,2.6616,2.2277,
(MF30),N,13.2,0.0713,3.0658,2.8473,
(MF32),N,13.4,0.0102,2.7612,2.7331,
(MG),N,13.7,0.3473,2.7419,1.7898,
(MG1),N,13,0.106,3.0017,2.6835,
(MG23),N,12.3,0.0495,3.2492,3.0884,
(MG3),N,13.5,0.0864,3.0571,2.7931,
(MG8),N,13.3,0.1562,3.1933,2.6944,561351.6
(MH),N,13.8,0.0399,3.1791,3.0521,
(MH),N,12.4,0.2232,2.9974,2.3284,17917.2
(MH),N,12.4,0.1914,2.5967,2.0997,13100.4
(MH2),N,13.5,0.2024,3.9494,3.1502,
(MH7),N,13.8,0.1609,5.1967,4.3604,
(MJ19),N,12.3,0.0732,5.1138,4.7392,
(MJ27),N,13.1,0.0319,3.0329,2.9361,
(MJ33),N,13.8,0.1543,2.6754,2.2624,50400
(MJ5),N,13.8,0.1979,3.413,2.7375,
(MJ5),N,13.1,0.2028,2.5879,2.0631,
(MJ72),N,13.9,0.2849,5.3335,3.8141,
(MK25),N,13.5,0.2077,2.8565,2.2631,
(MK27),N,13.2,0.0469,3.1009,2.9555,
(MK3),N,13.2,0.1344,3.106,2.6886,
(MK5),N,12.7,0.1807,2.6282,2.1534,
(ML),N,12.9,0.1036,3.2048,2.8729,35125.2
(ML1),N,13.8,0.3173,2.575,1.758,
(ML2),N,13.3,0.1914,3.0616,2.4756,
(ML27),N,13.1,0.1035,3.156,2.8292,
(ML35),N,13.8,0.0928,3.1634,2.87,
(ML4),N,13.1,0.1078,3.2296,2.8814,
(ML6),N,12.3,0.0193,3.188,3.1265,
(MM1),N,13.1,0.1004,3.1819,2.8623,
(MM27),N,13.8,0.0969,3.2002,2.8901,
(MM3),N,13.7,0.1137,2.8677,2.5416,
(MN2),N,13.7,0.2896,3.1605,2.2452,
(MN3),N,13.8,0.1074,3.2072,2.8628,
(MN9),N,12.5,0.0792,5.2201,4.8069,
(MO19),N,11.6,0.0685,3.115,2.9017,41324.4
(MO4),N,13.4,0.1394,3.0652,2.6378,
(MO44),N,11.1,0.0344,5.1439,4.9669,
(MP23),N,13.6,0.1793,2.7893,2.2892,33166.8
(MP5),N,13.8,0.2157,2.548,1.9985,
(MQ10),N,13,0.1037,5.2136,4.673,
(MQ11),N,10.7,0.1127,5.2283,4.6389,31824
(MQ11),N,12.8,0.0831,5.1682,4.7389,
(MQ15),N,13.3,0.3435,2.7787,1.8242,
(MQ4),N,13.2,0.0414,3.0629,2.936,304894.8
(MQ4),N,13.6,0.1885,2.564,2.0807,
(MQ6),N,13.8,0.1828,3.1429,2.5682,
(MR2),N,13.9,0.1469,3.1157,2.6579,
(MR22),N,13.3,0.16,2.6966,2.2652,11289.6
(MR24),N,12.9,0.1748,3.1629,2.6099,
(MR32),N,13.9,0.064,2.9192,2.7322,
(MR33),N,13.2,0.2076,3.1115,2.4656,
(MR35),N,13.4,0.0789,2.8972,2.6687,
(MR5),N,12.3,0.1139,3.0901,2.7383,
(MS),N,13.8,0.1878,3.9761,3.2295,
(MS2),N,13.9,0.1105,2.9783,2.6492,
(MS29),N,13.4,0.136,3.1481,2.72,
(MT29),N,13.6,0.0946,2.7747,2.5123,110088
(MT4),N,13.5,0.1616,2.5667,2.1519,
(MU),N,13.8,0.2733,3.1027,2.2546,
(MU1),N,13.6,0.101,3.2092,2.8851,
(MU17),N,13.6,0.2162,2.9301,2.2967,
(MU27),N,12.8,0.1026,3.0063,2.698,
(MU30),N,13.3,0.1173,3.1461,2.7772,
(MU31),N,10.5,0.0767,5.2244,4.8235,
(MU5),N,12.4,0.0362,3.2314,3.1146,
(MV17),N,13.3,0.1182,3.2138,2.8338,
(MV4),N,13.5,0.066,3.0359,2.8355,
(MV5),N,13.1,0.147,2.8705,2.4485,
(MV7),N,13.3,0.1162,5.2234,4.6165,
(MW1),N,13.5,0.0795,2.7285,2.5115,
(MW3),N,12.7,0.0744,5.1751,4.79,
(MW5),N,13.9,0.2013,2.5987,2.0755,19036.8
(MX22),N,13.7,0.1627,3.1934,2.674,20149.2
(MX3),N,13.9,0.1098,3.0071,2.677,
(MX38),N,13.8,0.2027,3.9696,3.165,
(MY18),N,13.2,0.1714,3.1624,2.6205,
(MY29),N,12.9,0.1772,3.1627,2.6022,19234.8
(MY29),N,12.6,0.1047,2.8551,2.5562,29523.6
(MY5),N,13.4,0.1119,2.7017,2.3993,
(MY9),N,13.9,0.1472,2.7928,2.3816,51274.8
(MZ11),N,13.4,0.1969,2.5487,2.0469,
(MZ2),N,13.2,0.123,3.2186,2.8227,
(MZ30),N,13.9,0.1239,2.6034,2.2808,
(NA1),N,13.5,0.1503,2.7663,2.3505,
(NA11),N,13.5,0.166,2.6401,2.2019,
(NA2),N,13.9,0.1547,2.6468,2.2374,
(NA26),N,12.2,0.116,3.0546,2.7001,
(NA28),N,13.1,0.1583,3.9871,3.3558,
(NA29),N,13.6,0.1926,3.1148,2.5148,
(NA35),N,13.6,0.116,3.1406,2.7764,
(NA38),N,11.6,0.0826,5.2412,4.8082,
(NA4),N,13.9,0.0239,3.2093,3.1327,
(NA41),N,13.2,0.0343,3.117,3.0099,
(NA46),N,13.2,0.107,3.2108,2.8671,
(NB),N,13.8,0.2241,2.5595,1.986,
(NB),N,13.8,0.1171,2.4574,2.1696,
(NB),N,12.8,0.2285,2.4406,1.8831,17893.08
(NB11),N,13.9,0.1942,3.216,2.5915,24696
(NB13),N,13.6,0.1964,2.4089,1.9358,21795.588
(NB16),N,13.2,0.0841,2.7693,2.5364,19749.6
(NB24),N,13.8,0.1216,3.0726,2.6989,9921.6
(NB25),N,13.8,0.132,2.9847,2.5907,
(NB27),N,13.3,0.006,3.0823,3.0637,28332
(NB28),N,13.8,0.0796,3.0503,2.8077,25156.8
(NB33),N,13.3,0.0894,3.1735,2.8897,
(NB38),N,10.5,0.0827,5.1359,4.7112,233244
(NB4),N,13.6,0.0892,2.2857,2.0818,19497.6
(NB53),N,13.5,0.1318,2.6473,2.2984,
(NB63),N,11.6,0.1682,5.1892,4.3163,
(NC),N,13.6,0.0377,2.855,2.7474,
(NC21),N,13.7,0.1229,3.1292,2.7446,
(NC24),N,13.6,0.1241,2.5892,2.2679,
(NC3),N,13.6,0.2762,3.2199,2.3307,
(NC32),N,12.8,0.0624,3.0327,2.8433,
(NC55),N,12.7,0.1841,3.1877,2.6007,
(NC57),N,12.3,0.1,3.0356,2.732,33098.4
(NC60),N,13.8,0.1514,2.7066,2.2968,
(ND),N,13.3,0.0809,2.8389,2.6093,
(ND23),N,13.3,0.0501,3.3768,3.2076,
(ND26),N,13,0.1454,3.9756,3.3977,
(ND28),N,13.7,0.2311,3.1686,2.4364,
(ND33),N,13.9,0.2036,3.2212,2.5654,
(ND41),N,12.9,0.0654,5.3078,4.9608,
(ND49),N,13.3,0.0697,3.078,2.8635,
(ND56),N,13.7,0.2109,3.0386,2.3977,
(ND57),N,13.7,0.0346,2.679,2.5861,45475.2
(NE),N,13.9,0.057,3.0889,2.9129,
(NE1),N,12.8,0.0432,3.1744,3.0372,3168
(NE11),N,11.6,0.0954,5.1942,4.6987,
(NE18),N,12.9,0.0516,3.1904,3.0259,
(NE2),N,12.2,0.1125,5.2589,4.667,
(NE39),N,13.8,0.0448,3.1137,2.9742,
(NE55),N,13.5,0.0968,3.1536,2.8484,
(NE7),N,12.8,0.0863,3.1567,2.8844,
(NE9),N,11,0.0096,5.1563,5.1069,
(NF),N,12.6,0.0756,2.998,2.7715,
(NF12),N,13.3,0.1788,2.9846,2.4509,
(NF2),N,13.8,0.1018,3.1619,2.84,
(NF3),N,13.2,0.207,2.6425,2.0954,
(NF4),N,13.9,0.1164,2.9588,2.6144,
(NF47),N,13.9,0.1335,3.0085,2.6068,
(NF54),N,13.6,0.1079,3.1153,2.7791,161496
(NF55),N,13.8,0.1311,2.5272,2.196,
(NF6),N,13.4,0.0599,2.9442,2.7678,
(NG),N,13.7,0.1515,3.1432,2.6672,
(NG1),N,13.1,0.113,3.0082,2.6684,
(NG18),N,12.2,0.0292,3.2417,3.147,
(NG3),N,13.6,0.1967,2.5656,2.0609,
(NG33),N,13.9,0.0955,2.9882,2.7029,
(NG6),N,13.1,0.0667,2.995,2.7954,
(NH11),N,11.2,0.0893,5.2263,4.7597,
(NH18),N,12.9,0.068,2.9877,2.7846,
(NH23),N,13.9,0.0896,2.9895,2.7217,
(NH27),N,13.8,0.1461,2.7829,2.3763,
(NH3),N,13.8,0.2779,3.1716,2.2901,65394
(NH3),N,12.8,0.1799,2.7014,2.2155,11808
(NH37),N,13.5,0.1164,3.0105,2.66,
(NH38),N,13.7,0.0309,3.2405,3.1404,
(NJ),N,12.3,0.0592,3.1984,3.0089,
(NJ17),N,13.9,0.0311,3.1364,3.0388,
(NJ21),N,13.1,0.1418,2.6071,2.2375,
(NK15),N,13.8,0.0714,2.9375,2.7276,
(NK17),N,13.9,0.2013,3.152,2.5174,
(NK20),N,13.8,0.2203,3.1238,2.4357,
(NK5),N,13.5,0.1293,3.1499,2.7426,
(NK55),N,13.1,0.2166,3.2032,2.5093,
(NK56),N,12.5,0.1342,2.6413,2.287,58532.4
(NK6),N,13.7,0.1839,2.6965,2.2005,
(NK9),N,13.8,0.1468,2.9951,2.5554,
(NL),N,13.6,0.1976,2.5551,2.0501,
(NL1),N,12.5,0.0953,3.165,2.8633,
(NL11),N,13.8,0.1697,3.1331,2.6015,
(NL15),N,13.8,0.1176,2.9798,2.6293,21078
(NL19),N,13.9,0.0547,2.9692,2.8069,
(NL49),N,13.8,0.1472,2.6159,2.2309,
(NL7),N,12.4,0.0503,5.2345,4.9713,
(NL8),N,13.1,0.1583,3.1432,2.6456,
(NM12),N,13.3,0.2425,3.1559,2.3906,
(NM17),N,13.5,0.1343,3.1771,2.7504,
(NM2),N,13.1,0.2169,3.1429,2.4611,
(NM20),N,13.4,0.0922,3.1708,2.8783,
(NM24),N,13.6,0.0549,2.9863,2.8224,
(NM33),N,12.4,0.0539,3.9777,3.7633,
(NM6),N,13.9,0.067,2.7399,2.5565,
(NN),N,13.6,0.1588,2.7563,2.3185,
(NN),N,12.9,0.2226,2.2222,1.7275,11722.32
(NN3),N,13.3,0.2018,2.6344,2.1028,11592
(NN5),N,12.4,0.0271,3.1808,3.0947,
(NN9),N,13.7,0.1834,3.1803,2.597,
(NO),N,13.7,0.3456,3.1494,2.0609,
(NO1),N,13.3,0.1035,2.6548,2.38,
(NO16),N,13.8,0.0884,3.1169,2.8413,
(NO18),N,13,0.2528,3.9863,2.9785,
(NO24),N,13.7,0.1715,3.1695,2.6261,
(NO5),N,12.7,0.1051,5.1889,4.6434,
(NO6),N,13.8,0.1563,2.5859,2.1819,
